DevId,slope,SessionLengthMin,start_time,start_val,IntValue,IS_Changed
73E65B76064901080004-1A601C6F0600,2.666666666666,90,2016-08-16 20:59:59,97,100,1
73E65B76064901080004-1A601C6F0600,5.125000000000,480,2016-08-21 22:59:59,99,100,1
73E65B76064901080004-1A601C6F0600,5.058823529411,510,2016-08-22 22:29:59,99,100,1
73E65B76064901080004-1A601C6F0600,4.857142857142,420,2016-08-23 21:29:59,98,100,1
73E65B76064901080004-1A601C6F0600,4.500000000000,240,2016-08-24 22:59:59,97,100,1
73E65B76064901080004-1A601C6F0600,5.000000000000,540,2016-08-28 20:59:59,97,100,1
73E65B7606490108000B-094070040600,4.016736401673,239,2016-08-15 22:30:00,98,100,1
73E65B7606490108000B-094070040600,4.000000000000,120,2016-08-16 23:00:00,97,100,1
73E65B7606490108000B-094070040600,3.777777777777,270,2016-08-17 21:29:59,96,100,1
73E65B7606490108000B-094070040600,4.000000000000,150,2016-08-18 22:29:59,96,100,1
73E65B7606490108000B-094070040600,4.666666666666,270,2016-08-21 22:29:59,95,100,1
73E65B7606490108000B-094070040600,3.666666666666,180,2016-08-22 23:29:59,96,100,1
73E65B7606490108000B-094070040600,4.285714285714,210,2016-08-25 21:29:59,94,100,1
73E65B7606490108000B-094070040600,7.200000000000,450,2016-08-28 21:29:59,96,100,1
73E65B7606490108000B-12B0D2530600,.000000000000,30,2016-08-15 22:59:59,96,100,1
73E65B7606490108000B-12B0D2530600,3.000000000000,120,2016-08-16 01:29:59,99,100,1
73E65B7606490108000B-12B0D2530600,3.333333333333,90,2016-08-16 22:29:59,99,100,1
73E65B7606490108000B-12B0D2530600,3.666666666666,180,2016-08-28 22:59:59,99,100,1
73E65B7606490108000C-1A402A412600,4.000000000000,1260,2016-08-15 22:29:59,92,100,1
73E65B7606490108000C-1A402A412600,4.666666666666,180,2016-08-17 21:29:59,99,100,1
73E65B7606490108000C-1A402A412600,6.000000000000,60,2016-08-18 21:59:59,51,100,0
73E65B7606490108000C-1A402A412600,1.159563924677,4036,2016-08-18 23:59:59,84,100,0
73E65B7606490108000C-1A402A412600,.666666666666,1260,2016-08-21 22:29:59,74,100,0
73E65B7606490108000C-1A402A412600,4.769230769230,390,2016-08-22 22:29:59,96,100,1
73E65B7606490108000C-1A402A412600,4.857142857142,420,2016-08-24 20:29:59,98,100,1
73E65B7606490108000C-1A402A412600,5.200000000000,900,2016-08-28 21:29:59,97,100,1
